Record Length,9000,,Source,CH1,CH2
Sample Interval,CH1:0.0000002000000 CH2:0.0000002000000,,Second,Volt,Volt
,,,-0.00087960000,-1.80000,-7.40000
,,,-0.00087940000,-1.80000,-7.40000
,,,-0.00087920000,-1.60000,-7.40000
,,,-0.00087900000,-1.40000,-7.40000
,,,-0.00087880000,-1.40000,-7.40000
,,,-0.00087860000,-1.40000,-7.40000
,,,-0.00087840000,-1.00000,-7.40000
,,,-0.00087820000,-1.00000,-7.40000
,,,-0.00087800000,-0.80000,-7.40000
,,,-0.00087780000,-0.60000,-7.40000
,,,-0.00087760000,-0.60000,-7.40000
,,,-0.00087740000,-0.40000,-7.40000
,,,-0.00087720000,-0.20000,-7.40000
,,,-0.00087700000,-0.20000,-7.40000
,,,-0.00087680000,0.20000,-7.40000
,,,-0.00087660006,0.20000,-7.40000
,,,-0.00087640006,0.40000,-7.40000
,,,-0.00087620006,0.40000,-7.40000
,,,-0.00087600006,0.80000,-7.40000
,,,-0.00087580006,0.80000,-7.40000
,,,-0.00087560006,1.00000,-7.40000
,,,-0.00087540000,1.00000,-7.40000
,,,-0.00087520000,1.20000,-7.40000
,,,-0.00087500000,1.20000,-7.40000
,,,-0.00087480000,1.20000,-7.40000
,,,-0.00087460000,1.60000,-7.40000
,,,-0.00087440000,1.60000,-7.40000
,,,-0.00087420000,1.80000,-7.40000
,,,-0.00087400000,1.80000,-7.40000
,,,-0.00087380000,2.00000,-7.40000
,,,-0.00087360000,2.20000,-7.40000
,,,-0.00087340000,2.40000,-7.60000
,,,-0.00087320000,2.40000,-7.40000
,,,-0.00087300000,2.60000,-7.40000
,,,-0.00087280000,2.80000,-7.60000
,,,-0.00087260000,3.00000,-7.40000
,,,-0.00087240000,3.20000,-7.40000
,,,-0.00087220000,3.20000,-7.40000
,,,-0.00087200000,3.20000,-7.40000
,,,-0.00087180000,3.40000,-7.40000
,,,-0.00087160000,3.60000,-7.40000
,,,-0.00087140000,3.80000,-7.40000
,,,-0.00087120000,4.00000,-7.60000
,,,-0.00087100000,4.00000,-7.40000
,,,-0.00087080000,4.20000,-7.40000
,,,-0.00087060000,4.60000,-7.40000
,,,-0.00087040000,5.00000,-7.60000
,,,-0.00087020000,6.60000,-7.40000
,,,-0.00087000000,8.20000,-7.40000
,,,-0.00086980000,10.00000,-7.60000
,,,-0.00086960000,10.80000,-7.60000
,,,-0.00086940000,10.80000,-7.40000
,,,-0.00086920000,10.80000,-7.40000
,,,-0.00086900000,10.80000,-7.40000
,,,-0.00086880006,10.80000,-7.40000
,,,-0.00086860006,10.80000,-7.40000
,,,-0.00086840006,10.80000,-7.60000
,,,-0.00086820006,10.80000,-7.40000
