Record Length,11250,,Source,CH2
Sample Interval, CH2:0.0000004000000,,Second,Volt
Vertical Units, CH2:V,,-0.00045000000,11.00000
Vertical Scale, CH2:5.00,,-0.00044992000,11.20000
Vertical Offset, CH2:0.00,,-0.00044984000,11.20000
Horizontal Units,s,,-0.00044976000,11.20000
Horizontal Scale,0.0000500000,,-0.00044968000,11.20000
Model Number,SDS1072CML,,-0.00044960000,11.20000
Serial Number,SDS100P2150691,,-0.00044951997,11.20000
Software Version,5.01.02.29,,-0.00044944000,11.20000
,,,-0.00044096000,14.20000
,,,-0.00044088000,14.20000
,,,-0.00044080000,14.20000
,,,-0.00044072000,14.20000
,,,-0.00044064000,14.20000
,,,-0.00044056000,14.20000
,,,-0.00044047997,14.20000
,,,-0.00044040000,14.20000
,,,-0.00044032000,14.20000
,,,-0.00044024000,14.20000
,,,-0.00044016000,14.20000
,,,-0.00044008000,14.20000
,,,-0.00044000000,14.20000
,,,-0.00043992000,14.20000
,,,-0.00043984000,14.20000
,,,-0.00043975997,14.20000
,,,-0.00043968000,14.20000
,,,-0.00043960000,14.20000
,,,-0.00043952000,14.20000
,,,-0.00043944000,14.20000
,,,-0.00043936000,14.20000
,,,-0.00043928000,14.20000
,,,-0.00043920000,14.20000
,,,-0.00043912000,14.20000
,,,-0.00043904000,14.20000
,,,-0.00043896000,14.20000
,,,-0.00043888000,14.20000
,,,-0.00043880000,14.20000
,,,-0.00043872000,14.20000
,,,-0.00043864000,14.20000
,,,-0.00043856000,14.20000
,,,-0.00043848000,14.20000
,,,-0.00043840000,14.20000
,,,-0.00043832000,14.20000
,,,-0.00043824000,14.20000
,,,-0.00043816000,14.20000
,,,-0.00043808000,14.20000
,,,-0.00043800000,14.40000
,,,-0.00043792000,14.20000
,,,-0.00043784000,14.20000
,,,-0.00043776000,14.20000
,,,-0.00043768000,14.20000
,,,-0.00043760000,14.20000
,,,-0.00043752000,14.20000
,,,-0.00043744000,14.20000
,,,-0.00043736000,14.20000
,,,-0.00043728000,14.20000
,,,-0.00043720000,14.20000
,,,-0.00043712000,14.20000
,,,-0.00043704000,14.20000
,,,-0.00043696000,14.20000
,,,-0.00043688000,14.20000
,,,-0.00043680000,14.20000
,,,-0.00043672000,14.20000
,,,-0.00043664000,14.20000
,,,-0.00043656000,14.20000
,,,-0.00043648000,14.20000
,,,-0.00043640000,14.20000
,,,-0.00043632000,14.20000
,,,-0.00043624000,14.20000
,,,-0.00043616000,14.20000
,,,-0.00043608000,14.20000
,,,-0.00043600000,14.20000
,,,-0.00043592000,14.20000
,,,-0.00043584000,14.20000
,,,-0.00043576000,14.20000
,,,-0.00043568000,14.20000
,,,-0.00043560000,14.20000
,,,-0.00043552000,14.20000
,,,-0.00043544000,14.20000
,,,-0.00043536000,14.20000
,,,-0.00043528000,14.20000
,,,-0.00043520000,14.20000
,,,-0.00043512000,14.20000
,,,-0.00043503997,14.20000
,,,-0.00043496000,14.20000
,,,-0.00043488000,14.20000
,,,-0.00043480000,14.20000
,,,-0.00043472000,14.20000
,,,-0.00043464000,14.20000
,,,-0.00043456000,14.20000
,,,-0.00043448000,14.20000
,,,-0.00043440000,14.40000
,,,-0.00043431997,14.20000
,,,-0.00043424000,14.20000
,,,-0.00043416000,14.20000
,,,-0.00043408000,14.20000
,,,-0.00043400000,14.40000
,,,-0.00043392000,14.20000
,,,-0.00043384000,14.20000
,,,-0.00043376000,14.20000
,,,-0.00043368000,14.20000
,,,-0.00043359997,14.20000
,,,-0.00043352000,14.20000
