Source,CH1,CH2
Second,Volt,Volt
-0.00441920000,-0.05600,-0.33600
-0.00441840000,-0.05600,-0.33600
-0.00441760000,-0.04800,-0.32800
-0.00441680000,-0.04800,-0.33600
-0.00441600000,-0.05600,-0.32800
-0.00441520000,-0.05400,-0.33600
-0.00441440000,-0.04600,-0.32800
-0.00441360000,-0.05200,-0.33600
-0.00441280000,-0.05200,-0.33600
-0.00441200000,-0.05000,-0.33600
-0.00441120000,-0.05000,-0.33600
-0.00441040000,-0.04400,-0.33600
-0.00440960000,-0.05200,-0.33600
-0.00440880000,-0.04800,-0.33600
-0.00440800000,-0.05000,-0.33600
-0.00440720000,-0.04400,-0.33600
-0.00440640000,-0.04600,-0.33600
-0.00440560000,-0.05200,-0.32800
-0.00440480000,-0.04800,-0.33600
-0.00440400000,-0.04400,-0.33600
-0.00440320000,-0.04600,-0.33600
-0.00440240000,-0.05200,-0.33600
-0.00440160000,-0.04200,-0.33600
-0.00440080000,-0.04400,-0.33600
-0.00440000000,-0.04400,-0.33600
-0.00439920000,-0.04800,-0.33600
-0.00439840000,-0.04600,-0.33600
-0.00439760000,-0.04000,-0.33600
-0.00439680000,-0.04400,-0.32800
-0.00439600000,-0.04600,-0.32800
-0.00439520000,-0.04600,-0.33600
-0.00439440000,-0.04000,-0.33600
-0.00439360000,-0.04200,-0.33600
-0.00439280000,-0.04400,-0.33600
-0.00439200000,-0.04400,-0.33600
-0.00439120000,-0.04400,-0.33600
-0.00439040000,-0.03800,-0.33600
-0.00438960000,-0.04800,-0.33600
-0.00438880000,-0.04400,-0.33600
-0.00438800000,-0.04000,-0.33600
-0.00438720000,-0.03600,-0.33600
-0.00438640000,-0.04600,-0.33600
-0.00438560000,-0.04200,-0.33600
-0.00438480000,-0.04400,-0.33600
-0.00438400000,-0.03200,-0.32800
-0.00438320000,-0.04000,-0.33600
-0.00438239969,-0.04400,-0.32800
-0.00438159969,-0.03800,-0.33600
-0.00438079969,-0.03800,-0.33600
-0.00437999969,-0.03400,-0.32800
-0.00437920031,-0.04400,-0.32800
-0.00437840031,-0.04000,-0.33600
-0.00437760031,-0.03400,-0.33600
-0.00437680031,-0.03400,-0.33600
-0.00437600031,-0.03800,-0.33600
-0.00437520031,-0.03800,-0.33600
-0.00437440031,-0.03400,-0.33600
-0.00437360031,-0.03000,-0.32800
-0.00437280031,-0.03600,-0.33600
-0.00437200031,-0.04000,-0.33600
-0.00437120031,-0.03400,-0.33600
-0.00437040031,-0.03400,-0.33600
-0.00436960031,-0.03400,-0.33600
-0.00436880031,-0.03400,-0.32800
-0.00436800031,-0.03800,-0.33600
-0.00436720031,-0.03000,-0.33600
-0.00436640031,-0.03200,-0.33600
-0.00436560031,-0.03000,-0.32800
-0.00436480031,-0.04000,-0.33600
