Frequency [Hz]   COH [a.u.]   Phase [rad]
32.226563       0.50050316       0.18370919
32.324219       0.63283463       0.28966945
32.421875       0.50399023       0.19740990
32.519531       0.41587920       0.13402002
32.617188       0.56939775       0.18511859
32.714844       0.61985725      0.058174636
32.812500       0.57084555      0.076849878
32.910156       0.47810609      0.029551622
33.007813       0.37614827      -0.15180178
33.105469       0.47961911      -0.13744330
33.203125       0.54974730       0.36951596
33.300781       0.47121369      0.014428388
33.398438       0.48578624     -0.078870729
33.496094       0.49983920      -0.13453658
33.593750       0.42229281      0.020298965
33.691406       0.32123947       0.13270172
33.789063       0.42363738       0.11661447
33.886719       0.53745233     -0.026159482
33.984375       0.54426684      0.029388703
34.082031       0.44541127       0.13364065
34.179688       0.44906484      -0.28147435
34.277344       0.54602137      -0.22178076
34.375000       0.50761755      -0.10094055
34.472656       0.55470151      0.040928334
34.570313       0.52556129      -0.11199176
34.667969       0.44732721       0.10035020
34.765625       0.49308842       0.16872397
34.863281       0.45150572     -0.096473664
34.960938       0.47141407      0.031718854
35.058594       0.47033200     -0.034869988
35.156250       0.41370858    -0.0018314391
35.253906       0.49633096       0.16884190
35.351563       0.64712441       0.12842990
35.449219       0.52036896       0.15341645
35.546875       0.47098715      0.051359743
35.644531       0.53501374      0.096570194
35.742188       0.57090081      0.032107614
35.839844       0.58568746     -0.082139723
35.937500       0.54554936      -0.17368703
36.035156       0.54061461      -0.14401713
36.132813       0.45074616       0.22209270
36.230469       0.46374633       0.25557852
36.328125       0.42712003       0.10668167
36.425781       0.43958272     -0.072568268
36.523438       0.41279979      -0.17310341
36.621094       0.46004827      -0.16722120
36.718750       0.49846836      -0.44070810
36.816406       0.49525393      -0.41012749
36.914063       0.55846205      -0.21956395
37.011719       0.52184612    -0.0041675945
37.109375       0.53095540       0.10569089
37.207031       0.53166538       0.16133457
37.304688       0.46024719       0.43482998
37.402344       0.44846490       0.20143983
37.500000       0.50431038     -0.068240099
37.597656       0.44474184      -0.20050791
37.695313       0.44023424     -0.043371122
37.792969       0.49904093     -0.023757201
37.890625       0.49125675     -0.040961988
37.988281       0.45763299      -0.14357658
38.085938       0.56614023      -0.22769412
38.183594       0.48182539      -0.33074641
38.281250       0.46168732      -0.27449977
38.378906       0.45171117      -0.10116704
38.476563       0.46429286       0.16594657
38.574219       0.53106535       0.23174584
38.671875       0.54456049       0.10733943
38.769531       0.49134454       0.16901453
38.867188       0.56473857      0.098405011
38.964844       0.49244439       0.37451595
39.062500       0.54272660       0.17866714
39.160156       0.55902012       0.15643245
39.257813       0.51618074     -0.014624518
39.355469       0.56306627      -0.17576712
39.453125       0.58644413      -0.10872289
39.550781       0.58612547     -0.062439855
39.648438       0.54239696      -0.10388011
39.746094       0.57442380      -0.16439149
39.843750       0.54648781      0.060568508
39.941406       0.43837440      0.061116263
40.039063       0.56123642      -0.15501219
40.136719       0.52729272      0.018265711
40.234375       0.47067144       0.12861592
40.332031       0.57413316      0.083359838
40.429688       0.51106564     -0.031615771
40.527344       0.43946890      -0.12603082
40.625000       0.47132515      -0.12451790
40.722656       0.52529704      -0.15239164
40.820313       0.55268191      -0.25126505
40.917969       0.52869250      -0.21068141
41.015625       0.56002395     -0.033721898
41.113281       0.48739159      0.033768337
41.210938       0.54523969     -0.014238070
41.308594       0.55086527      -0.25852165
